source_path,reason_excluded,archive_note
research/outputs/h100_percentile_edge_validation/,H100 measured activation validation; deferred from first clean Paper 1.5 core pass.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/h100_percentile_edge_validation_error_analysis/,H100 forecast-vs-observed arrow visualizations and regional error analysis; explicitly excluded.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/h100_diagnostic_followups/,H100 anomaly diagnostics and extraction-boundary checklist; deferred.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/extraction_equivalence_audit/,H100/source extraction equivalence audit; important but outside first core repo.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/public_source_extraction_equivalence/,Public-source extraction boundary audit; deferred with H100 material.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/novel_prompt_battery/,Prompt-battery generation for H100 validation; excluded.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/novel_prompt_battery_expansion/,Adaptive prompt-battery expansion; excluded.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/novel_prompt_battery_percentile_edges/,Final H100 prompt battery; excluded.,Leave in source repo for provenance; do not include in first clean repo pass.
research/outputs/training_forecast_error_geometry/,Forecast-arrow visualization/control analysis tied to H100 diagnostic phase; excluded first pass.,Leave in source repo for provenance; do not include in first clean repo pass.
research/q2_stability/qwen/outputs/dyad_v1/,"Archived Paper 2/dyad dynamics direction, not Paper 1.5 core.",Leave in source repo for provenance; do not include in first clean repo pass.
research/q2_stability/qwen/outputs/dyad_v2/,"Archived Paper 2/dyad dynamics direction, not Paper 1.5 core.",Leave in source repo for provenance; do not include in first clean repo pass.
research/q2_stability/qwen/outputs/dyad_v3/,"Archived Paper 2/dyad dynamics direction, not Paper 1.5 core.",Leave in source repo for provenance; do not include in first clean repo pass.
research/emotions/,Separate emotion-vector work; not Paper 1.5 core.,Leave in source repo for provenance; do not include in first clean repo pass.
research/diagnostic/,Early diagnostic logs/scripts; not canonical report material.,Leave in source repo for provenance; do not include in first clean repo pass.
visualizations/,Older exploratory visualization directory; use `research/visualizations/persona_geometry_explorer.html` instead.,Leave in source repo for provenance; do not include in first clean repo pass.
research/q2_stability/qwen/outputs/paper1_5/activations_trickster/,Large activation shards; do not copy into clean lightweight repo.,Leave in source repo for provenance; do not include in first clean repo pass.
research/q2_stability/qwen/outputs/paper1_5/trickster_phase1.jsonl,Large generated rollout JSONL; summarize via reports instead.,Leave in source repo for provenance; do not include in first clean repo pass.
