consensus_family_id,opaque_role_id,role,membership_category,model_support_count,qwen_support,llama_support,gemma_support
MFamily_A,R003,accountant,core,3,True,True,True
MFamily_A,R004,activist,fringe,1,False,False,True
MFamily_A,R008,advocate,majority,2,False,True,True
MFamily_A,R010,altruist,fringe,1,False,False,True
MFamily_A,R012,ambassador,core,3,True,True,True
MFamily_A,R014,analyst,core,3,True,True,True
MFamily_A,R018,anthropologist,core,3,True,True,True
MFamily_A,R020,architect,core,3,True,True,True
MFamily_A,R021,archivist,core,3,True,True,True
MFamily_A,R024,assistant,core,3,True,True,True
MFamily_A,R026,auditor,core,3,True,True,True
MFamily_A,R030,biologist,core,3,True,True,True
MFamily_A,R033,builder,core,3,True,True,True
MFamily_A,R034,caregiver,fringe,1,False,False,True
MFamily_A,R035,cartographer,core,3,True,True,True
MFamily_A,R040,chemist,core,3,True,True,True
MFamily_A,R042,coach,core,3,True,True,True
MFamily_A,R043,collaborator,core,3,True,True,True
MFamily_A,R044,collector,fringe,1,False,True,False
MFamily_A,R048,conservator,core,3,True,True,True
MFamily_A,R049,consultant,core,3,True,True,True
MFamily_A,R051,coordinator,core,3,True,True,True
MFamily_A,R054,counselor,majority,2,False,True,True
MFamily_A,R056,critic,core,3,True,True,True
MFamily_A,R058,curator,core,3,True,True,True
MFamily_A,R059,cyborg,core,3,True,True,True
MFamily_A,R062,debugger,core,3,True,True,True
MFamily_A,R064,designer,core,3,True,True,True
MFamily_A,R066,detective,core,3,True,True,True
MFamily_A,R067,devils_advocate,majority,2,False,True,True
MFamily_A,R069,dispatcher,core,3,True,True,True
MFamily_A,R071,doctor,core,3,True,True,True
MFamily_A,R074,economist,core,3,True,True,True
MFamily_A,R076,editor,core,3,True,True,True
MFamily_A,R080,emissary,core,3,True,True,True
MFamily_A,R082,engineer,core,3,True,True,True
MFamily_A,R083,entrepreneur,core,3,True,True,True
MFamily_A,R084,evaluator,core,3,True,True,True
MFamily_A,R086,examiner,core,3,True,True,True
MFamily_A,R089,facilitator,core,3,True,True,True
MFamily_A,R094,forecaster,core,3,True,True,True
MFamily_A,R095,futurist,core,3,True,True,True
MFamily_A,R097,generalist,core,3,True,True,True
MFamily_A,R099,geographer,core,3,True,True,True
MFamily_A,R103,grader,core,3,True,True,True
MFamily_A,R106,guardian,majority,2,False,True,True
MFamily_A,R107,guide,core,3,True,True,True
MFamily_A,R113,historian,core,3,True,True,True
MFamily_A,R123,instructor,core,3,True,True,True
MFamily_A,R124,interpreter,core,3,True,True,True
MFamily_A,R125,interviewer,core,3,True,True,True
MFamily_A,R127,journalist,core,3,True,True,True
MFamily_A,R128,judge,core,3,True,True,True
MFamily_A,R129,lawyer,core,3,True,True,True
MFamily_A,R131,librarian,core,3,True,True,True
MFamily_A,R132,linguist,core,3,True,True,True
MFamily_A,R135,marketer,core,3,True,True,True
MFamily_A,R137,mathematician,core,3,True,True,True
MFamily_A,R140,mediator,core,3,True,True,True
MFamily_A,R141,mentor,core,3,True,True,True
MFamily_A,R142,merchant,fringe,1,False,True,False
MFamily_A,R144,moderator,core,3,True,True,True
MFamily_A,R151,navigator,core,3,True,True,True
MFamily_A,R152,negotiator,core,3,True,True,True
MFamily_A,R153,networker,core,3,True,True,True
MFamily_A,R157,nutritionist,core,3,True,True,True
MFamily_A,R158,observer,core,3,True,True,True
MFamily_A,R161,organizer,core,3,True,True,True
MFamily_A,R163,pacifist,fringe,1,False,False,True
MFamily_A,R164,paramedic,core,3,True,True,True
MFamily_A,R168,peacekeeper,core,3,True,True,True
MFamily_A,R169,perfectionist,majority,2,True,True,False
MFamily_A,R170,pharmacist,core,3,True,True,True
MFamily_A,R173,physicist,core,3,True,True,True
MFamily_A,R175,pilot,core,3,True,True,True
MFamily_A,R177,planner,core,3,True,True,True
MFamily_A,R179,podcaster,fringe,1,False,False,True
MFamily_A,R181,polymath,majority,2,True,True,False
MFamily_A,R182,pragmatist,core,3,True,True,True
MFamily_A,R184,presenter,core,3,True,True,True
MFamily_A,R188,prodigy,fringe,1,False,True,False
MFamily_A,R189,producer,core,3,True,True,True
MFamily_A,R190,programmer,core,3,True,True,True
MFamily_A,R191,proofreader,core,3,True,True,True
MFamily_A,R195,psychologist,core,3,True,True,True
MFamily_A,R196,publisher,core,3,True,True,True
MFamily_A,R198,realist,core,3,True,True,True
MFamily_A,R200,recruiter,core,3,True,True,True
MFamily_A,R202,reporter,core,3,True,True,True
MFamily_A,R203,researcher,core,3,True,True,True
MFamily_A,R206,reviewer,core,3,True,True,True
MFamily_A,R208,robot,core,3,True,True,True
MFamily_A,R213,scheduler,core,3,True,True,True
MFamily_A,R214,scholar,core,3,True,True,True
MFamily_A,R215,scientist,core,3,True,True,True
MFamily_A,R216,scout,core,3,True,True,True
MFamily_A,R217,screener,core,3,True,True,True
MFamily_A,R218,secretary,core,3,True,True,True
MFamily_A,R222,skeptic,core,3,True,True,True
MFamily_A,R224,sociologist,core,3,True,True,True
MFamily_A,R227,specialist,core,3,True,True,True
MFamily_A,R230,statistician,core,3,True,True,True
MFamily_A,R232,strategist,core,3,True,True,True
MFamily_A,R233,student,fringe,1,False,False,True
MFamily_A,R234,summarizer,core,3,True,True,True
MFamily_A,R235,supervisor,core,3,True,True,True
MFamily_A,R240,synthesizer,core,3,True,True,True
MFamily_A,R241,teacher,core,3,True,True,True
MFamily_A,R242,technologist,core,3,True,True,True
MFamily_A,R244,theorist,core,3,True,True,True
MFamily_A,R245,therapist,majority,2,False,True,True
MFamily_A,R248,trainer,core,3,True,True,True
MFamily_A,R249,translator,core,3,True,True,True
MFamily_A,R253,tutor,core,3,True,True,True
MFamily_A,R254,validator,core,3,True,True,True
MFamily_A,R256,vegan,fringe,1,False,False,True
MFamily_A,R258,veterinarian,core,3,True,True,True
MFamily_A,R270,witness,fringe,1,False,True,False
MFamily_B,R001,aberration,majority,2,True,False,True
MFamily_B,R009,alien,majority,2,False,True,True
MFamily_B,R013,amnesiac,fringe,1,True,False,False
MFamily_B,R016,ancient,core,3,True,True,True
MFamily_B,R017,angel,core,3,True,True,True
MFamily_B,R023,ascetic,core,3,True,True,True
MFamily_B,R027,avatar,core,3,True,True,True
MFamily_B,R028,bard,core,3,True,True,True
MFamily_B,R032,bohemian,fringe,1,True,False,False
MFamily_B,R036,caveman,fringe,1,True,False,False
MFamily_B,R041,chimera,core,3,True,True,True
MFamily_B,R052,coral_reef,majority,2,True,False,True
MFamily_B,R057,crystalline,majority,2,False,True,True
MFamily_B,R063,demon,core,3,True,True,True
MFamily_B,R072,dreamer,core,3,True,True,True
MFamily_B,R073,echo,core,3,True,True,True
MFamily_B,R077,egregore,core,3,True,True,True
MFamily_B,R078,elder,fringe,1,True,False,False
MFamily_B,R079,eldritch,core,3,True,True,True
MFamily_B,R087,exile,majority,2,True,False,True
MFamily_B,R090,familiar,core,3,True,True,True
MFamily_B,R092,flaneur,fringe,1,True,False,False
MFamily_B,R098,genie,core,3,True,True,True
MFamily_B,R100,ghost,core,3,True,True,True
MFamily_B,R101,golem,core,3,True,True,True
MFamily_B,R108,guru,core,3,True,True,True
MFamily_B,R112,hermit,core,3,True,True,True
MFamily_B,R116,homunculus,core,3,True,True,True
MFamily_B,R130,leviathan,core,3,True,True,True
MFamily_B,R136,martyr,majority,2,True,False,True
MFamily_B,R146,mycorrhizal,core,3,True,True,True
MFamily_B,R147,mystic,core,3,True,True,True
MFamily_B,R149,narrator,majority,2,True,False,True
MFamily_B,R160,oracle,core,3,True,True,True
MFamily_B,R174,pilgrim,core,3,True,True,True
MFamily_B,R180,poet,core,3,True,True,True
MFamily_B,R183,predator,majority,2,True,False,True
MFamily_B,R185,prey,majority,2,True,False,True
MFamily_B,R192,prophet,core,3,True,True,True
MFamily_B,R205,revenant,core,3,True,True,True
MFamily_B,R210,romantic,majority,2,True,False,True
MFamily_B,R212,sage,core,3,True,True,True
MFamily_B,R219,shaman,core,3,True,True,True
MFamily_B,R220,shapeshifter,fringe,1,True,False,False
MFamily_B,R228,spirit,core,3,True,True,True
MFamily_B,R231,stoic,fringe,1,False,True,False
MFamily_B,R250,tree,core,3,True,True,True
MFamily_B,R255,vampire,core,3,True,True,True
MFamily_B,R263,void,core,3,True,True,True
MFamily_B,R264,wanderer,majority,2,True,False,True
MFamily_B,R265,warrior,majority,2,True,False,True
MFamily_B,R266,whale,core,3,True,True,True
MFamily_B,R268,wind,core,3,True,True,True
MFamily_B,R269,witch,core,3,True,True,True
MFamily_B,R272,wraith,core,3,True,True,True
MFamily_B,R274,zealot,majority,2,True,False,True
MFamily_C,R004,activist,fringe,1,False,True,False
MFamily_C,R005,actor,fringe,1,True,False,False
MFamily_C,R006,addict,core,3,True,True,True
MFamily_C,R007,adolescent,core,3,True,True,True
MFamily_C,R010,altruist,fringe,1,False,True,False
MFamily_C,R011,amateur,core,3,True,True,True
MFamily_C,R029,bartender,core,3,True,True,True
MFamily_C,R031,blogger,core,3,True,True,True
MFamily_C,R034,caregiver,majority,2,True,True,False
MFamily_C,R037,celebrity,core,3,True,True,True
MFamily_C,R038,chameleon,fringe,1,True,False,False
MFamily_C,R039,chef,fringe,1,True,False,False
MFamily_C,R045,comedian,majority,2,False,True,True
MFamily_C,R054,counselor,fringe,1,True,False,False
MFamily_C,R068,dilettante,fringe,1,True,False,False
MFamily_C,R070,divorcee,core,3,True,True,True
MFamily_C,R078,elder,fringe,1,False,True,False
MFamily_C,R081,empath,fringe,1,True,False,False
MFamily_C,R085,evangelist,fringe,1,False,True,False
MFamily_C,R088,expatriate,core,3,True,True,True
MFamily_C,R093,fool,majority,2,True,True,False
MFamily_C,R102,gossip,fringe,1,False,True,False
MFamily_C,R104,graduate,core,3,True,True,True
MFamily_C,R105,grandparent,core,3,True,True,True
MFamily_C,R115,hoarder,core,3,True,True,True
MFamily_C,R119,immigrant,majority,2,True,True,False
MFamily_C,R120,improviser,core,3,True,True,True
MFamily_C,R121,infant,fringe,1,True,False,False
