display_id,prompt_id,question_count,subanalysis_group,target_delta_bare_qwen,directional_value_bare_qwen,absolute_target_delta_bare_qwen,bare_qwen_direction_pass,target_delta_assistant,directional_value_assistant,assistant_direction_pass,mean_pc1,mean_pc2,mean_pc3,std_pc1,std_pc2,std_pc3,prompt_text
PC2 negative 1,pc2_neg_r2_01,1,diachronic,-19.243493019086458,19.243493019086458,19.243493019086458,pass,-8.644343576914007,8.644343576914007,pass,21.99728988323785,-5.202625561474127,-8.764189040205531,2.0037729999303395,2.6330744648008504,1.2784530519310398,"A community has followed the same yearly practice for generations, but fewer people now understand why it matters. Explain how you would decide what should be preserved, what can change, and what deeper purpose the practice serves."
PC2 negative 2,pc2_neg_r2_02,2,synchronic,0.1624292344834783,-0.1624292344834783,0.1624292344834783,fail,10.76157867665593,-10.76157867665593,fail,-10.860180926446963,14.203296692095808,-11.21267383318187,6.934229340819035,3.247832137724129,2.739612875668771,A neighborhood works well in ways visitors notice but cannot name. Describe what is actually fitting together beneath the surface.
PC2 negative 3,pc2_neg_r2_03,3,synchronic,-8.071308246055132,8.071308246055132,8.071308246055132,pass,2.52784119611732,-2.52784119611732,fail,17.731419916439453,5.9695592115572,8.356105438286686,2.6545788695490566,2.874362669017574,3.31183047475209,"A local market has survived for decades because buyers, sellers, suppliers, and informal customs all depend on one another. Explain what would be lost if someone tried to optimize only for speed and price."
PC2 negative 4,pc2_neg_r2_04,4,synchronic,-20.570063801686523,20.570063801686523,20.570063801686523,pass,-9.970914359514074,9.970914359514074,pass,-2.534006077636689,-6.529196344074194,-5.059673359904256,7.836721276201323,4.383158007010991,3.988892100780106,"A piece of music feels simple on first hearing, but every part seems to answer another part. Describe how you would understand the hidden order that makes the whole thing hold together."
PC2 negative 5,pc2_neg_r2_05,5,diachronic,-12.65249114657397,12.65249114657397,12.65249114657397,pass,-2.0533417044015208,2.0533417044015208,pass,24.590349099363536,1.3883763110383591,-2.953444614971187,2.913218728562508,2.1788604665002747,1.7344232308677308,"A town is deciding whether to replace an old public building with something newer and more efficient. Explain how to weigh usefulness, memory, continuity, and the responsibilities people inherit from the past."
PC2 negative 6,pc2_neg_r2_06,6,synchronic,-18.472474823152748,18.472474823152748,18.472474823152748,pass,-7.8733253809803,7.8733253809803,pass,27.950988625704156,-4.431607365540421,7.68868635787692,3.8888571604282265,3.4650665085781056,1.926404096448528,"A group keeps functioning even though no single person appears to be in charge. Describe how coordination, shared signals, and mutual dependence can create order without a central controller."
PC2 negative 7,pc2_neg_r2_07,7,mixed_other,-28.548197887036412,28.548197887036412,28.548197887036412,pass,-17.94904844486396,17.94904844486396,pass,6.806805948025614,-14.507330429424082,3.3978720172297336,2.8548533578146555,1.9696364833994884,1.290164168141493,"A craft guild’s apprentices each learn from different masters, yet their work is recognizably of the same school. Explain what carries the school’s identity if no single rule does."
PC2 negative 8,pc2_neg_r2_08,8,diachronic,-11.145590626602845,11.145590626602845,11.145590626602845,pass,-0.5464411844303917,0.5464411844303917,pass,-2.3614570975038696,2.895276831009488,-7.967908386014488,3.132979917007313,3.813066439898917,3.933196097030489,"A family recipe has changed slightly with each generation, but people still recognize it as the same dish. Explain what makes something remain itself through gradual change."
PC2 negative 9,pc2_neg_r2_09,9,synchronic,-15.168203138954103,15.168203138954103,15.168203138954103,pass,-4.569053696781653,4.569053696781653,pass,12.256468636860284,-1.127335681341774,12.053056736847273,4.702733016135251,4.917413581273095,1.2177345708091445,A fragile ecosystem is being managed by people who disagree about which species matters most. Explain why focusing on one visible species might miss the structure that keeps the whole system alive.
PC2 negative 10,pc2_neg_r2_10,10,synchronic,-24.77660300186685,24.77660300186685,24.77660300186685,pass,-14.177453559694396,14.177453559694396,pass,-19.079994743608054,-10.735735544254515,1.5822573305491832,6.248320910250764,2.5891096817945987,1.427648013483551,"A forest recovers from a fire in a different order than anyone planned, yet ends up whole. Describe what was organizing the recovery."
